SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#
MLS Listing,,Multi-Family (2-4 Unit),2605 Exposition Pl,Los Angeles,CA,90018,695000,6,4,C16 - Mid Los Angeles,2326,4528,1923,103,299,,Active,,,http://www.redfin.com/CA/Los-Angeles/2605-Exposition-Pl-90018/home/6888264,CRMLS,RS17069985
MLS Listing,,Multi-Family (2-4 Unit),701 Coronado Ter,Los Angeles (City),CA,90026,850000,3,3,Silver Lake/Echo Park,1406,6812,1948,103,605,,Active,July-16-2017 2:00 PM,July-16-2017 5:00 PM,http://www.redfin.com/CA/Los-Angeles/701-Coronado-Ter-90026/home/7052473,TheMLS,17-217494
MLS Listing,,Multi-Family (2-4 Unit),6555 E Olympic Blvd,Los Angeles,CA,90022,450000,2,2,699 - Not Defined,1008,2538,1951,103,446,,Active,,,http://www.redfin.com/CA/East-Los-Angeles/6555-E-Olympic-Blvd-90022/home/7438919,CRMLS,DW17069738
MLS Listing,,Multi-Family (2-4 Unit),3944 West 111th Pl,Inglewood,CA,90303,499000,3,2,South Inglewood,1480,6017,1948,103,337,,Active,,,http://www.redfin.com/CA/Inglewood/3944-W-111th-Pl-90303/home/6479334,TheMLS,17-217038
MLS Listing,,Multi-Family (2-4 Unit),1423 E 109th St,Los Angeles,CA,90059,580000,6,4,WATT - Watts,2660,3844,2015,104,218,,Active,,,http://www.redfin.com/CA/Los-Angeles/1423-E-109th-St-90059/home/7314985,CRMLS,CV17068719
MLS Listing,,Multi-Family (2-4 Unit),5637 Hub St,Highland Park,CA,90042,825000,4,3,632 - Highland Park,2593,5601,1927,105,318,,Active,,,http://www.redfin.com/CA/Los-Angeles/5637-Hub-St-90042/home/7082991,i-Tech MLS,317002756
MLS Listing,,Multi-Family (2-4 Unit),5701 Baltimore St,Los Angeles,CA,90042,750000,4,2,632 - Highland Park,1506,5585,1925,105,498,,Active,,,http://www.redfin.com/CA/Los-Angeles/5701-Baltimore-St-90042/home/7085623,CRMLS,CV17068172
MLS Listing,,Multi-Family (2-4 Unit),8317 Whittier Blvd,Pico Rivera,CA,90660,550000,5,4,649 - Pico Rivera,3036,3142,1927,106,181,,Active,,,http://www.redfin.com/CA/Pico-Rivera/8317-Whittier-Blvd-90660/home/113619203,CRMLS,CV17067790
MLS Listing,,Multi-Family (2-4 Unit),3918 Dalton Ave,Los Angeles (City),CA,90062,645000,2,2,Los Angeles Southwest,2162,5384,1914,106,298,,Active,,,http://www.redfin.com/CA/Los-Angeles/3918-Dalton-Ave-90062/home/6883628,TheMLS,17-216252
MLS Listing,,Multi-Family (2-4 Unit),680 Cypress Ave,Los Angeles,CA,90065,720000,5,4,623 - Glassel Park,2603,6734,1922,107,277,,Active,,,http://www.redfin.com/CA/Los-Angeles/680-Cypress-Ave-90065/home/7070840,CRMLS,WS17066875
