2016/2017,9246,ELEM SCHOOLS,0.065625
2016/2017,9246,GENERAL,1
2016/2017,9246,HIGH SCHOOLS,0.060354
2016/2017,9246,METRO WATER DIST,0.0035
2016/2017,9247,ARCADIA-2011 G.O,0.006817
2016/2017,9247,COMMNTY COLLEGE,0.00885
2016/2017,9247,COUNTY,0
2016/2017,9247,GENERAL,1
2016/2017,9247,METRO WATER DIST,0.0035
2016/2017,9247,UNIFIED SCHOOLS,0.100515
2016/2017,9248,ARCADIA-2011 G.O,0.006817
2016/2017,9248,COMMNTY COLLEGE,0.00885
2016/2017,9248,COUNTY,0
2016/2017,9248,GENERAL,1
2016/2017,9248,METRO WATER DIST,0.0035
2016/2017,9248,UNIFIED SCHOOLS,0.100515
2016/2017,9250,ARCADIA-2011 G.O,0.006817
2016/2017,9250,COMMNTY COLLEGE,0.00885
2016/2017,9250,COUNTY,0
2016/2017,9250,GENERAL,1
2016/2017,9250,METRO WATER DIST,0.0035
2016/2017,9250,UNIFIED SCHOOLS,0.100515
2016/2017,9251,ARCADIA-2011 G.O,0.006817
2016/2017,9251,COMMNTY COLLEGE,0.00885
2016/2017,9251,COUNTY,0
2016/2017,9251,GENERAL,1
2016/2017,9251,METRO WATER DIST,0.0035
2016/2017,9251,UNIFIED SCHOOLS,0.100515
2016/2017,9252,ARCADIA-2011 G.O,0.006817
2016/2017,9252,COMMNTY COLLEGE,0.00885
2016/2017,9252,COUNTY,0
2016/2017,9252,GENERAL,1
2016/2017,9252,METRO WATER DIST,0.0035
2016/2017,9252,UNIFIED SCHOOLS,0.100515
2016/2017,9256,COMMNTY COLLEGE,0.00885
2016/2017,9256,COUNTY,0
2016/2017,9256,GENERAL,1
2016/2017,9256,METRO WATER DIST,0.0035
2016/2017,9256,UNIFIED SCHOOLS,0.100515
2016/2017,9257,COMMNTY COLLEGE,0.00885
2016/2017,9257,COUNTY,0
2016/2017,9257,GENERAL,1
2016/2017,9257,METRO WATER DIST,0.0035
2016/2017,9257,UNIFIED SCHOOLS,0.100515
2016/2017,9258,CITY-SAN GABRIEL,0.14
2016/2017,9258,COMMNTY COLLEGE,0.00885
2016/2017,9258,COUNTY,0
2016/2017,9258,GENERAL,1
2016/2017,9258,METRO WATER DIST,0.0035
2016/2017,9258,UNIFIED SCHOOLS,0.100515
2016/2017,9259,ARCADIA-2011 G.O,0.006817
2016/2017,9259,COMMNTY COLLEGE,0.00885
2016/2017,9259,COUNTY,0
2016/2017,9259,GENERAL,1
2016/2017,9259,METRO WATER DIST,0.0035
2016/2017,9259,UNIFIED SCHOOLS,0.100515
2016/2017,926,BELL MEASURE A-G,0.340413
2016/2017,926,COMMNTY COLLEGE,0.035956
2016/2017,926,COUNTY,0
2016/2017,926,GENERAL,1
2016/2017,926,METRO WATER DIST,0.0035
2016/2017,926,UNIFIED SCHOOLS,0.131096
2016/2017,9260,COMMNTY COLLEGE,0.00885
2016/2017,9260,COUNTY,0
2016/2017,9260,GENERAL,1
2016/2017,9260,METRO WATER DIST,0.0035
2016/2017,9260,UNIFIED SCHOOLS,0.100515
2016/2017,9261,COMMNTY COLLEGE,0.00885
2016/2017,9261,COUNTY,0
2016/2017,9261,GENERAL,1
2016/2017,9261,METRO WATER DIST,0.0035
2016/2017,9261,UNIFIED SCHOOLS,0.100515
2016/2017,9263,COMMNTY COLLEGE,0.00885
2016/2017,9263,COUNTY,0
2016/2017,9263,GENERAL,1
2016/2017,9263,METRO WATER DIST,0.0035
2016/2017,9263,UNIFIED SCHOOLS,0.100515
2016/2017,9265,COMMNTY COLLEGE,0.028083
2016/2017,9265,COUNTY,0
2016/2017,9265,ELEM SCHOOLS,0.065625
2016/2017,9265,GENERAL,1
2016/2017,9265,HIGH SCHOOLS,0.060354
2016/2017,9265,METRO WATER DIST,0.0035
2016/2017,9266,COMMNTY COLLEGE,0.028083
2016/2017,9266,COUNTY,0
2016/2017,9266,ELEM SCHOOLS,0.065625
2016/2017,9266,GENERAL,1
2016/2017,9266,HIGH SCHOOLS,0.060354
2016/2017,9266,METRO WATER DIST,0.0035
2016/2017,9269,COMMNTY COLLEGE,0.00885
2016/2017,9269,COUNTY,0
2016/2017,9269,GENERAL,1
2016/2017,9269,METRO WATER DIST,0.0035
2016/2017,9269,UNIFIED SCHOOLS,0.100515
2016/2017,9270,CITY-TEMPLE CITY,0
2016/2017,9270,COMMNTY COLLEGE,0.00885
2016/2017,9270,COUNTY,0
2016/2017,9270,GENERAL,1
2016/2017,9270,METRO WATER DIST,0.0035
2016/2017,9270,UNIFIED SCHOOLS,0.100515
2016/2017,9276,COMMNTY COLLEGE,0.027579
2016/2017,9276,COUNTY,0
2016/2017,9276,ELEM SCHOOLS,0.06642
2016/2017,9276,GENERAL,1
2016/2017,9276,HIGH SCHOOLS,0.049506
2016/2017,9276,SPECIAL WATER,0.0706
2016/2017,9278,CITY-EL MONTE,0.15
2016/2017,9278,COMMNTY COLLEGE,0.00885
2016/2017,9278,COUNTY,0
2016/2017,9278,GENERAL,1
2016/2017,9278,METRO WATER DIST,0.0035
2016/2017,9278,UNIFIED SCHOOLS,0.100515
2016/2017,928,COMMNTY COLLEGE,0.035956
2016/2017,928,COUNTY,0
2016/2017,928,GENERAL,1
2016/2017,928,METRO WATER DIST,0.0035
2016/2017,928,UNIFIED SCHOOLS,0.131096
2016/2017,9280,CITY-TEMPLE CITY,0
2016/2017,9280,COMMNTY COLLEGE,0.00885
2016/2017,9280,COUNTY,0
2016/2017,9280,GENERAL,1
2016/2017,9280,METRO WATER DIST,0.0035
2016/2017,9280,UNIFIED SCHOOLS,0.100515
2016/2017,9281,CITY-TEMPLE CITY,0
2016/2017,9281,COMMNTY COLLEGE,0.00885
2016/2017,9281,COUNTY,0
2016/2017,9281,GENERAL,1
2016/2017,9281,METRO WATER DIST,0.0035
2016/2017,9281,UNIFIED SCHOOLS,0.100515
2016/2017,9282,CITY-TEMPLE CITY,0
2016/2017,9282,COMMNTY COLLEGE,0.00885
2016/2017,9282,COUNTY,0
2016/2017,9282,GENERAL,1
2016/2017,9282,METRO WATER DIST,0.0035
2016/2017,9282,UNIFIED SCHOOLS,0.100515
2016/2017,9283,CITY-TEMPLE CITY,0
2016/2017,9283,COMMNTY COLLEGE,0.00885
2016/2017,9283,COUNTY,0
